;ENG;FRA;ITA;SPA;GER;POL;RUS;RUS;;;X;
PROV7207;Sola;Sola;Sola;Sola;Sola;Sola;Sola;Сола;;;X;
PROV7208;Longana;Longana;Longana;Longana;Longana;Longana;Longana;Лонгана;;;X;
PROV7209;Ringdove;Ringdove;Ringdove;Ringdove;Ringdove;Ringdove;Ringdove;Рингдове;;;X;
PROV7210;Vao;Vao;Vao;Vao;Vao;Vao;Vao;Вао;;;X;
PROV7211;Kone;Kone;Kone;Kone;Kone;Kone;Kone;Коне;;;X;
PROV7212;Waala;Waala;Waala;Waala;Waala;Waala;Waala;Ваала;;;X;
PROV7213;Iles Chesterfield & Ile de Sable;Iles Chesterfield & Ile de Sable;Iles Chesterfield & Ile de Sable;Iles Chesterfield & Ile de Sable;Iles Chesterfield & Ile de Sable;Iles Chesterfield & Ile de Sable;Iles Chesterfield & Ile de Sable;Честерфилд и Сабле;;;X;
PROV7214;Lautoka;Lautoka;Lautoka;Lautoka;Lautoka;Lautoka;Lautoka;Лаутока;;;X;
PROV7215;Levuka;Levuka;Levuka;Levuka;Levuka;Levuka;Levuka;Левука;;;X;
PROV7216;Lomaloma;Lomaloma;Lomaloma;Lomaloma;Lomaloma;Lomaloma;Lomaloma;Ломалома;;;X;
PROV7217;Tubou;Tubou;Tubou;Tubou;Tubou;Tubou;Tubou;Тубоу;;;X;
PROV7218;Pangai;Pangai;Pangai;Pangai;Pangai;Pangai;Pangai;Пангай;;;X;
PROV7219;Neiafu;Neiafu;Neiafu;Neiafu;Neiafu;Neiafu;Neiafu;Нейафу;;;X;
PROV7220;Hihifo;Hihifo;Hihifo;Hihifo;Hihifo;Hihifo;Hihifo;Хихифо;;;X;
PROV7221;Safotulafai;Safotulafai;Safotulafai;Safotulafai;Safotulafai;Safotulafai;Safotulafai;Сафотулафай;;;X;
PROV7222;Taulaga;Taulaga;Taulaga;Taulaga;Taulaga;Taulaga;Taulaga;Таулага;;;X;
PROV7223;Arutanga;Arutanga;Arutanga;Arutanga;Arutanga;Arutanga;Arutanga;Арутанга;;;X;
PROV7224;Palmerston;Palmerston;Palmerston;Palmerston;Palmerston;Palmerston;Palmerston;Палмерстон;;;X;
PROV7225;Suwarrow;Suwarrow;Suwarrow;Suwarrow;Suwarrow;Suwarrow;Suwarrow;Суварроу;;;X;
PROV7226;Omoka;Omoka;Omoka;Omoka;Omoka;Omoka;Omoka;Омока;;;X;
PROV7227;Tauhunu;Tauhunu;Tauhunu;Tauhunu;Tauhunu;Tauhunu;Tauhunu;Таихуну;;;X;
PROV7228;Ahurei;Ahurei;Ahurei;Ahurei;Ahurei;Ahurei;Ahurei;Ахурей;;;X;
PROV7229;Mata'ura;Mata'ura;Mata'ura;Mata'ura;Mata'ura;Mata'ura;Mata'ura;Мата Ура;;;X;
PROV7230;Moerai;Moerai;Moerai;Moerai;Moerai;Moerai;Moerai;Моерай;;;X;
PROV7231;Uturoa;Uturoa;Uturoa;Uturoa;Uturoa;Uturoa;Uturoa;Утуроа;;;X;
PROV7232;Otetou;Otetou;Otetou;Otetou;Otetou;Otetou;Otetou;Отетоу;;;X;
PROV7233;Avatoru;Avatoru;Avatoru;Avatoru;Avatoru;Avatoru;Avatoru;Аватору;;;X;
PROV7234;Tukuhora;Tukuhora;Tukuhora;Tukuhora;Tukuhora;Tukuhora;Tukuhora;Тукухора;;;X;
PROV7235;Paeua;Paeua;Paeua;Paeua;Paeua;Paeua;Paeua;Паеуа;;;X;
PROV7236;Hakamaru;Hakamaru;Hakamaru;Hakamaru;Hakamaru;Hakamaru;Hakamaru;Хакамару;;;X;
PROV7237;Tumukuru;Tumukuru;Tumukuru;Tumukuru;Tumukuru;Tumukuru;Tumukuru;Тимикуру;;;X;
PROV7238;Tepukamaruia;Tepukamaruia;Tepukamaruia;Tepukamaruia;Tepukamaruia;Tepukamaruia;Tepukamaruia;Тепукамаруйа;;;X;
PROV7239;Southern Line Islands;Southern Line Islands;Southern Line Islands;Southern Line Islands;Southern Line Islands;Southern Line Islands;Southern Line Islands;о-ва Софен Лайн;;;X;
PROV7240;Malden & Starbuck Islands;Malden & Starbuck Islands;Malden & Starbuck Islands;Malden & Starbuck Islands;Malden & Starbuck Islands;Malden & Starbuck Islands;Malden & Starbuck Islands;о-ва Малден и Старбак;;;X;
PROV7241;Napari;Napari;Napari;Napari;Napari;Napari;Napari;Напари;;;X;
PROV7242;Pearl Harbor;Pearl Harbor;Pearl Harbor;Pearl Harbor;Pearl Harbor;Pearl Harbor;Pearl Harbor;Перл Харбор;;;X;
PROV7243;Gagra;Gagra;Gagra;Gagra;Gagra;Gagra;Gagra;Гагра;;;X;
PROV7244;Ambrolauri;Ambrolauri;Ambrolauri;Ambrolauri;Ambrolauri;Ambrolauri;Ambrolauri;Амбролаури;;;X;
PROV7245;Telavi;Telavi;Telavi;Telavi;Telavi;Telavi;Telavi;Телави;;;X;
PROV7246;Q'vareli;Q'vareli;Q'vareli;Q'vareli;Q'vareli;Q'vareli;Q'vareli;Кварели;;;X;
PROV7247;Marneuli;Marneuli;Marneuli;Marneuli;Marneuli;Marneuli;Marneuli;Марнеули;;;X;
PROV7248;Akhaltsikhe;Akhaltsikhe;Akhaltsikhe;Akhaltsikhe;Akhaltsikhe;Akhaltsikhe;Akhaltsikhe;Ахалцихе;;;X;
PROV7249;Hoktemberyan;Hoktemberyan;Hoktemberyan;Hoktemberyan;Hoktemberyan;Hoktemberyan;Hoktemberyan;Хоктемберян;;;X;
PROV7250;Ijewan;Ijewan;Ijewan;Ijewan;Ijewan;Ijewan;Ijewan;Иджеван;;;X;
PROV7251;Daskesen;Daskesen;Daskesen;Daskesen;Daskesen;Daskesen;Daskesen;Дашкесен;;;X;
PROV7252;Sadiqli;Sadiqli;Sadiqli;Sadiqli;Sadiqli;Sadiqli;Sadiqli;Садикли;;;X;
PROV7253;Lacin;Lacin;Lacin;Lacin;Lacin;Lacin;Lacin;Лачин;;;X;
PROV7254;Salyan;Salyan;Salyan;Salyan;Salyan;Salyan;Salyan;Салян;;;X;
PROV7255;Lake Sevan;Lake Sevan;Lake Sevan;Lake Sevan;Lake Sevan;Lake Sevan;Lake Sevan;оз. Севан;;;X;
PROV7256;Guachochi;Guachochi;Guachochi;Guachochi;Guachochi;Guachochi;Guachochi;Гвачочи;;;X;
PROV7257;Angra do Heroismo;Angra do Heroismo;Angra do Heroismo;Angra do Heroismo;Angra do Heroismo;Angra do Heroismo;Angra do Heroismo;Ангра де Хероизмо;;;X;
PROV7258;Santa Cruz das Flores;Santa Cruz das Flores;Santa Cruz das Flores;Santa Cruz das Flores;Santa Cruz das Flores;Santa Cruz das Flores;Santa Cruz das Flores;Санта Круз дас Флорес;;;X;
PROV7259;Yusufeli;Yusufeli;Yusufeli;Yusufeli;Yusufeli;Yusufeli;Yusufeli;Юсуфели;;;X;
PROV7260;Burg;Burg;Burg;Burg;Burg;Burg;Burg;Бург;;;X;
PROV7261;Nitra;Nitra;Nitra;Nitra;Nitra;Nitra;Nitra;Нитра;;;X;
PROV7262;Beіchatуw;Beіchatуw;Beіchatуw;Beіchatуw;Beіchatуw;Beіchatуw;Beіchatуw;Бейчатив;;;X;
PROV7263;Ejszyszki;Ejszyszki;Ejszyszki;Ejszyszki;Ejszyszki;Ejszyszki;Ejszyszki;Ейшишкес;;;X;
PROV7264;Postawy;Postawy;Postawy;Postawy;Postawy;Postawy;Postawy;Поставы;;;X;
PROV7265;Veszprem;Veszprem;Veszprem;Veszprem;Veszprem;Veszprem;Veszprem;Веспрем;;;X;
PROV7266;Ost-Berlin;Ost-Berlin;Ost-Berlin;Ost-Berlin;Ost-Berlin;Ost-Berlin;Ost-Berlin;Вост. Берлин;;;X;
PROV7267;Travnik;Travnik;Travnik;Travnik;Travnik;Travnik;Travnik;Травник;;;X;
PROV7268;Smederevo;Smederevo;Smederevo;Smederevo;Smederevo;Smederevo;Smederevo;Смедерево;;;X;
PROV7269;Plav;Plav;Plav;Plav;Plav;Plav;Plav;Плав;;;X;
PROV7270;Tutin;Tutin;Tutin;Tutin;Tutin;Tutin;Tutin;Тутин;;;X;
PROV7271;Novi Pazar;Novi Pazar;Novi Pazar;Novi Pazar;Novi Pazar;Novi Pazar;Novi Pazar;Нови Пазар;;;X;
PROV7272;Mikoyan;Mikoyan;Mikoyan;Mikoyan;Mikoyan;Mikoyan;Mikoyan;Микоян;;;X;
PROV7273;Norasen;Norasen;Norasen;Norasen;Norasen;Norasen;Norasen;Норасен;;;X;
PROV7274;Tarim;Tarim;Tarim;Tarim;Tarim;Tarim;Tarim;Тарим;;;X;
PROV7275;Sahan;Sahan;Sahan;Sahan;Sahan;Sahan;Sahan;Сахан;;;X;
PROV7276;Marqada;Marqada;Marqada;Marqada;Marqada;Marqada;Marqada;Маркада;;;X;
PROV7277;Duma;Duma;Duma;Duma;Duma;Duma;Duma;Дума;;;X;
PROV7278;Dar'a;Dar'a;Dar'a;Dar'a;Dar'a;Dar'a;Dar'a;Дарра;;;X;
PROV7279;Hamah;Hamah;Hamah;Hamah;Hamah;Hamah;Hamah;Хамах;;;X;
PROV7280;Manbig;Manbig;Manbig;Manbig;Manbig;Manbig;Manbig;Манбиг;;;X;
PROV7281;Ayn-al-'Arab;Ayn-al-'Arab;Ayn-al-'Arab;Ayn-al-'Arab;Ayn-al-'Arab;Ayn-al-'Arab;Ayn-al-'Arab;Айн аль Араб;;;X;
PROV7282;Isdud;Isdud;Isdud;Isdud;Isdud;Isdud;Isdud;Исдуд;;;X;
PROV7283;Yafa;Yafa;Yafa;Yafa;Yafa;Yafa;Yafa;Яфа;;;X;
PROV7284;Auja al-Hafir;Auja al-Hafir;Auja al-Hafir;Auja al-Hafir;Auja al-Hafir;Auja al-Hafir;Auja al-Hafir;Айа аль Хафир;;;X;
PROV7285;Ein Hasb';Ein Hasb';Ein Hasb';Ein Hasb';Ein Hasb';Ein Hasb';Ein Hasb';Эйн Хасб;;;X;
PROV7286;Bir 'Asluj;Bir 'Asluj;Bir 'Asluj;Bir 'Asluj;Bir 'Asluj;Bir 'Asluj;Bir 'Asluj;Бир Аслуй;;;X;
PROV7287;Portree;Portree;Portree;Portree;Portree;Portree;Portree;Портри;;;X;
PROV7288;Bowmore;Bowmore;Bowmore;Bowmore;Bowmore;Bowmore;Bowmore;Боумор;;;X;
PROV7289;Ipswich;Ipswich;Ipswich;Ipswich;Ipswich;Ipswich;Ipswich;Ипсвич;;;X;
PROV7290;Tabariya;Tabariya;Tabariya;Tabariya;Tabariya;Tabariya;Tabariya;Табарайя;;;X;
PROV7291;Dead Sea;Dead Sea;Dead Sea;Dead Sea;Dead Sea;Dead Sea;Dead Sea;Мертвое море;;;X;
PROV7292;Kulhudhuffushi;Kulhudhuffushi;Kulhudhuffushi;Kulhudhuffushi;Kulhudhuffushi;Kulhudhuffushi;Kulhudhuffushi;Кулхудхуффуши;;;X;
PROV7293;Mahibadhoo;Mahibadhoo;Mahibadhoo;Mahibadhoo;Mahibadhoo;Mahibadhoo;Mahibadhoo;Махибадху;;;X;
PROV7294;Desroches;Desroches;Desroches;Desroches;Desroches;Desroches;Desroches;Десрочес;;;X;
PROV7295;Coлtivy;Coлtivy;Coлtivy;Coлtivy;Coлtivy;Coлtivy;Coлtivy;Сочивы;;;X;
PROV7296;Mimsina;Mimsina;Mimsina;Mimsina;Mimsina;Mimsina;Mimsina;Мимсина;;;X;
PROV7297;Meridja;Meridja;Meridja;Meridja;Meridja;Meridja;Meridja;Мериджа;;;X;
PROV7298;Buq Buq;Buq Buq;Buq Buq;Buq Buq;Buq Buq;Buq Buq;Buq Buq;Бук Бук;;;X;
PROV7299;Kiska;Kiska;Kiska;Kiska;Kiska;Kiska;Kiska;Киска;;;X;
PROV7300;Turda;Turda;Turda;Turda;Turda;Turda;Turda;Турда;;;X;
PROV7301;Fizi;Fizi;Fizi;Fizi;Fizi;Fizi;Fizi;Физи;;;X;
PROV7302;Gandajika;Gandajika;Gandajika;Gandajika;Gandajika;Gandajika;Gandajika;Гандажика;;;X;
PROV7303;Luiza;Luiza;Luiza;Luiza;Luiza;Luiza;Luiza;Луиза;;;X;
PROV7304;Kangpar;Kangpar;Kangpar;Kangpar;Kangpar;Kangpar;Kangpar;Кангпар;;;X;
PROV7305;Mymensingh;Mymensingh;Mymensingh;Mymensingh;Mymensingh;Mymensingh;Mymensingh;Муменсинг;;;X;
PROV7306;Alleppey;Alleppey;Alleppey;Alleppey;Alleppey;Alleppey;Alleppey;Аллепей;;;X;
PROV7307;Tellicherry;Tellicherry;Tellicherry;Tellicherry;Tellicherry;Tellicherry;Tellicherry;Телличерри;;;X;
PROV7308;Samaxi;Samaxi;Samaxi;Samaxi;Samaxi;Samaxi;Samaxi;Самахи;;;X;
PROV7309;Hunzah;Hunzah;Hunzah;Hunzah;Hunzah;Hunzah;Hunzah;Хунза;;;X;
PROV7310;Levasi;Levasi;Levasi;Levasi;Levasi;Levasi;Levasi;Леваси;;;X;
PROV7311;Izberbas;Izberbas;Izberbas;Izberbas;Izberbas;Izberbas;Izberbas;Избербаш;;;X;
PROV7312;Terekli-Mekteb;Terekli-Mekteb;Terekli-Mekteb;Terekli-Mekteb;Terekli-Mekteb;Terekli-Mekteb;Terekli-Mekteb;Терекли Мектеб;;;X;
PROV7313;Urus-Martan;Urus-Martan;Urus-Martan;Urus-Martan;Urus-Martan;Urus-Martan;Urus-Martan;Урус Мартан;;;X;
PROV7314;Taumarunui;Taumarunui;Taumarunui;Taumarunui;Taumarunui;Taumarunui;Taumarunui;Таумарануи;;;X;
PROV7315;Ulcinj;Ulcinj;Ulcinj;Ulcinj;Ulcinj;Ulcinj;Ulcinj;Улцинь;;;X;
PROV7316;Parga;Parga;Parga;Parga;Parga;Parga;Parga;Парга;;;X;
PROV7317;Tripoli;Tripoli;Tripoli;Tripoli;Tripoli;Tripoli;Tripoli;Триполи;;;X;
PROV7318;Livadeia;Livadeia;Livadeia;Livadeia;Livadeia;Livadeia;Livadeia;Ливадия;;;X;
PROV7319;Kozani;Kozani;Kozani;Kozani;Kozani;Kozani;Kozani;Козани;;;X;
PROV7320;Chania;Chania;Chania;Chania;Chania;Chania;Chania;Чанья;;;X;
PROV7321;Anefif;Anefif;Anefif;Anefif;Anefif;Anefif;Anefif;Анефиф;;;X;
PROV7322;Bamba;Bamba;Bamba;Bamba;Bamba;Bamba;Bamba;Бамба;;;X;
PROV7323;Adjelhoc;Adjelhoc;Adjelhoc;Adjelhoc;Adjelhoc;Adjelhoc;Adjelhoc;Агаэлхок;;;X;
PROV7324;Tessit;Tessit;Tessit;Tessit;Tessit;Tessit;Tessit;Тессит;;;X;
PROV7325;Youwarou;Youwarou;Youwarou;Youwarou;Youwarou;Youwarou;Youwarou;Ювару;;;X;
PROV7326;Tominian;Tominian;Tominian;Tominian;Tominian;Tominian;Tominian;Томиниан;;;X;
PROV7327;Konna;Konna;Konna;Konna;Konna;Konna;Konna;Конна;;;X;
PROV7328;Sagbama;Sagbama;Sagbama;Sagbama;Sagbama;Sagbama;Sagbama;Сагбама;;;X;
PROV7329;Djemah;Djemah;Djemah;Djemah;Djemah;Djemah;Djemah;Джема;;;X;
PROV7330;Ouadda;Ouadda;Ouadda;Ouadda;Ouadda;Ouadda;Ouadda;Оадда;;;X;
PROV7331;Mobaye;Mobaye;Mobaye;Mobaye;Mobaye;Mobaye;Mobaye;Мобае;;;X;
PROV7332;Sibut;Sibut;Sibut;Sibut;Sibut;Sibut;Sibut;Сибут;;;X;
PROV7333;Kabo;Kabo;Kabo;Kabo;Kabo;Kabo;Kabo;Кабо;;;X;
PROV7334;Newport;Newport;Newport;Newport;Newport;Newport;Newport;Ньюпорт;;;X;
PROV7335;Augustуw;Augustуw;Augustуw;Augustуw;Augustуw;Augustуw;Augustуw;Аугустув;;;X;
PROV7336;Vilkaviskis;Vilkaviskis;Vilkaviskis;Vilkaviskis;Vilkaviskis;Vilkaviskis;Vilkaviskis;Вилкавискис;;;X;
PROV7337;Tamrash;Tamrash;Tamrash;Tamrash;Tamrash;Tamrash;Tamrash;Тамраш;;;X;
PROV7338;Yenagoa;Yenagoa;Yenagoa;Yenagoa;Yenagoa;Yenagoa;Yenagoa;Йенагоа;;;X;
PROV7339;Kinkala;Kinkala;Kinkala;Kinkala;Kinkala;Kinkala;Kinkala;Кинкала;;;X;
PROV7340;Ngoma;Ngoma;Ngoma;Ngoma;Ngoma;Ngoma;Ngoma;Нгома;;;X;
PROV7341;Kajiado;Kajiado;Kajiado;Kajiado;Kajiado;Kajiado;Kajiado;Кайадо;;;X;
PROV7342;Kitui;Kitui;Kitui;Kitui;Kitui;Kitui;Kitui;Китуй;;;X;
PROV7343;Xuddur;Xuddur;Xuddur;Xuddur;Xuddur;Xuddur;Xuddur;Ксуддур;;;X;
PROV7344;Qoryooley;Qoryooley;Qoryooley;Qoryooley;Qoryooley;Qoryooley;Qoryooley;Кворули;;;X;
PROV7345;Jamaame;Jamaame;Jamaame;Jamaame;Jamaame;Jamaame;Jamaame;Джамааме;;;X;
PROV7346;Barentu;Barentu;Barentu;Barentu;Barentu;Barentu;Barentu;Баренту;;;X;
PROV7347;Abu Hashim;Abu Hashim;Abu Hashim;Abu Hashim;Abu Hashim;Abu Hashim;Abu Hashim;Абу Хашим;;;X;
PROV7348;Ekpot Abia;Ekpot Abia;Ekpot Abia;Ekpot Abia;Ekpot Abia;Ekpot Abia;Ekpot Abia;Экпот Абия;;;X;
PROV7349;Mahmur;Mahmur;Mahmur;Mahmur;Mahmur;Mahmur;Mahmur;Махмур;;;X;
PROV7350;al.-Falluga;al.-Falluga;al.-Falluga;al.-Falluga;al.-Falluga;al.-Falluga;al.-Falluga;Аль Фаллуджа;;;X;
PROV7351;Amasya;Amasya;Amasya;Amasya;Amasya;Amasya;Amasya;Амасия;;;X;
PROV7352;Soufli;Soufli;Soufli;Soufli;Soufli;Soufli;Soufli;Соуфли;;;X;
PROV7353;as-Saddada;as-Saddada;as-Saddada;as-Saddada;as-Saddada;as-Saddada;as-Saddada;Ас Саддада;;;X;
PROV7354;Ma'arrat an-Nu'man;Ma'arrat an-Nu'man;Ma'arrat an-Nu'man;Ma'arrat an-Nu'man;Ma'arrat an-Nu'man;Ma'arrat an-Nu'man;Ma'arrat an-Nu'man;Мааррат ан Нуман;;;X;
PROV7355;as-Safirah;as-Safirah;as-Safirah;as-Safirah;as-Safirah;as-Safirah;as-Safirah;Ас Сафира;;;X;
PROV7356;Tartus;Tartus;Tartus;Tartus;Tartus;Tartus;Tartus;Тартус;;;X;
PROV7357;Afrin;Afrin;Afrin;Afrin;Afrin;Afrin;Afrin;Африн;;;X;
PROV7358;Ba'labakk;Ba'labakk;Ba'labakk;Ba'labakk;Ba'labakk;Ba'labakk;Ba'labakk;Баальбек;;;X;
PROV7359;Dair al-Qamar;Dair al-Qamar;Dair al-Qamar;Dair al-Qamar;Dair al-Qamar;Dair al-Qamar;Dair al-Qamar;Дейр аль Квамар;;;X;
PROV7360;Sur;Sur;Sur;Sur;Sur;Sur;Sur;Сур;;;X;
PROV7361;Caiundo;Caiundo;Caiundo;Caiundo;Caiundo;Caiundo;Caiundo;Кайундо;;;X;
PROV7362;Cuchi;Cuchi;Cuchi;Cuchi;Cuchi;Cuchi;Cuchi;Кучи;;;X;
PROV7363;Quirima;Quirima;Quirima;Quirima;Quirima;Quirima;Quirima;Курима;;;X;
PROV7364;Madimba;Madimba;Madimba;Madimba;Madimba;Madimba;Madimba;Мадимба;;;X;
PROV7365;Nauchas;Nauchas;Nauchas;Nauchas;Nauchas;Nauchas;Nauchas;Нечас;;;X;
PROV7366;Maltahцhe;Maltahцhe;Maltahцhe;Maltahцhe;Maltahцhe;Maltahцhe;Maltahцhe;Мальтахах;;;X;
PROV7367;Sandwich Harbour;Sandwich Harbour;Sandwich Harbour;Sandwich Harbour;Sandwich Harbour;Sandwich Harbour;Sandwich Harbour;Сендвич Харбор;;;X;
PROV7368;Gibeon;Gibeon;Gibeon;Gibeon;Gibeon;Gibeon;Gibeon;Гибеон;;;X;
PROV7369;Aroab;Aroab;Aroab;Aroab;Aroab;Aroab;Aroab;Ароаб;;;X;
PROV7370;Aminuis;Aminuis;Aminuis;Aminuis;Aminuis;Aminuis;Aminuis;Аминус;;;X;
PROV7371;Tsumkwe;Tsumkwe;Tsumkwe;Tsumkwe;Tsumkwe;Tsumkwe;Tsumkwe;Тсумкве;;;X;
PROV7372;Epukiro;Epukiro;Epukiro;Epukiro;Epukiro;Epukiro;Epukiro;Эпукиро;;;X;
PROV7373;Outjo;Outjo;Outjo;Outjo;Outjo;Outjo;Outjo;Оутьо;;;X;
PROV7374;Olukonda;Olukonda;Olukonda;Olukonda;Olukonda;Olukonda;Olukonda;Олуконда;;;X;
PROV7375;Saban;Saban;Saban;Saban;Saban;Saban;Saban;Сабан;;;X;
PROV7376;Senor;Senor;Senor;Senor;Senor;Senor;Senor;Сенор;;;X;
PROV7377;Nicolas Bravo;Nicolas Bravo;Nicolas Bravo;Nicolas Bravo;Nicolas Bravo;Nicolas Bravo;Nicolas Bravo;Николас Браво;;;X;
PROV7378;Tenosique de Pino Suarez;Tenosique de Pino Suarez;Tenosique de Pino Suarez;Tenosique de Pino Suarez;Tenosique de Pino Suarez;Tenosique de Pino Suarez;Tenosique de Pino Suarez;Теносику де Пино Суарес;;;X;
PROV7379;Pijijiapan;Pijijiapan;Pijijiapan;Pijijiapan;Pijijiapan;Pijijiapan;Pijijiapan;Пихихьяпан;;;X;
PROV7380;Jutiapa;Jutiapa;Jutiapa;Jutiapa;Jutiapa;Jutiapa;Jutiapa;Ютьяпа;;;X;
PROV7381;Tepatitlan de Morelos;Tepatitlan de Morelos;Tepatitlan de Morelos;Tepatitlan de Morelos;Tepatitlan de Morelos;Tepatitlan de Morelos;Tepatitlan de Morelos;Тепатитлан де Морелос;;;X;
PROV7382;San Julian;San Julian;San Julian;San Julian;San Julian;San Julian;San Julian;Сан Хулиан;;;X;
PROV7383;Novouzensk;Novouzensk;Novouzensk;Novouzensk;Novouzensk;Novouzensk;Novouzensk;Новоузенск;;;X;
PROV7384;Ozinskij;Ozinskij;Ozinskij;Ozinskij;Ozinskij;Ozinskij;Ozinskij;Озинский;;;X;
PROV7385;Kotovo;Kotovo;Kotovo;Kotovo;Kotovo;Kotovo;Kotovo;Котово;;;X;
PROV7386;Nikolaevskaja sloboda;Nikolaevskaja sloboda;Nikolaevskaja sloboda;Nikolaevskaja sloboda;Nikolaevskaja sloboda;Nikolaevskaja sloboda;Nikolaevskaja sloboda;Николаевская слобода;;;X;
PROV7387;Kajsackoe;Kajsackoe;Kajsackoe;Kajsackoe;Kajsackoe;Kajsackoe;Kajsackoe;Кайсацкое;;;X;
PROV7388;Herschel;Herschel;Herschel;Herschel;Herschel;Herschel;Herschel;Херчел;;;X;
PROV7389;Thaba 'Nchu;Thaba 'Nchu;Thaba 'Nchu;Thaba 'Nchu;Thaba 'Nchu;Thaba 'Nchu;Thaba 'Nchu;Тхаба Нчу;;;X;
PROV7390;Ganyesa;Ganyesa;Ganyesa;Ganyesa;Ganyesa;Ganyesa;Ganyesa;Ганеша;;;X;
PROV7391;Taung;Taung;Taung;Taung;Taung;Taung;Taung;Таунг;;;X;
PROV7392;Derdepoort;Derdepoort;Derdepoort;Derdepoort;Derdepoort;Derdepoort;Derdepoort;Дертепурт;;;X;
PROV7393;Polfontein;Polfontein;Polfontein;Polfontein;Polfontein;Polfontein;Polfontein;Полфонтейн;;;X;
PROV7394;Gopane;Gopane;Gopane;Gopane;Gopane;Gopane;Gopane;Гопане;;;X;
PROV7395;Mogwase;Mogwase;Mogwase;Mogwase;Mogwase;Mogwase;Mogwase;Могвасе;;;X;
PROV7396;Ga-Rankuwa;Ga-Rankuwa;Ga-Rankuwa;Ga-Rankuwa;Ga-Rankuwa;Ga-Rankuwa;Ga-Rankuwa;Га-Ранкува;;;X;
PROV7397;KwaMhlanga;KwaMhlanga;KwaMhlanga;KwaMhlanga;KwaMhlanga;KwaMhlanga;KwaMhlanga;Ква Мланга;;;X;
PROV7398;Mapakwani;Mapakwani;Mapakwani;Mapakwani;Mapakwani;Mapakwani;Mapakwani;Мапаквани;;;X;
PROV7399;Steynsdorp;Steynsdorp;Steynsdorp;Steynsdorp;Steynsdorp;Steynsdorp;Steynsdorp;Шнейнсдорп;;;X;
PROV7400;Bochum;Bochum;Bochum;Bochum;Bochum;Bochum;Bochum;Бохум;;;X;
PROV7401;Molsgat;Molsgat;Molsgat;Molsgat;Molsgat;Molsgat;Molsgat;Молсгат;;;X;
PROV7402;Duiwelskloof;Duiwelskloof;Duiwelskloof;Duiwelskloof;Duiwelskloof;Duiwelskloof;Duiwelskloof;Дьювельсклуф;;;X;
PROV7403;Ellerton;Ellerton;Ellerton;Ellerton;Ellerton;Ellerton;Ellerton;Эллертон;;;X;
PROV7404;Newington;Newington;Newington;Newington;Newington;Newington;Newington;Ньюингтон;;;X;
PROV7405;Komatipoort;Komatipoort;Komatipoort;Komatipoort;Komatipoort;Komatipoort;Komatipoort;Коматипурт;;;X;
PROV7406;Mhinga;Mhinga;Mhinga;Mhinga;Mhinga;Mhinga;Mhinga;Мьинга;;;X;
PROV7407;Witsieshoek;Witsieshoek;Witsieshoek;Witsieshoek;Witsieshoek;Witsieshoek;Witsieshoek;Витсешок;;;X;
PROV7408;Loskop;Loskop;Loskop;Loskop;Loskop;Loskop;Loskop;Лоскоп;;;X;
PROV7409;Estcourt;Estcourt;Estcourt;Estcourt;Estcourt;Estcourt;Estcourt;Этскорт;;;X;
PROV7410;Umzimkulu;Umzimkulu;Umzimkulu;Umzimkulu;Umzimkulu;Umzimkulu;Umzimkulu;Умзимкулу;;;X;
PROV7411;Nquthu;Nquthu;Nquthu;Nquthu;Nquthu;Nquthu;Nquthu;Нкуту;;;X;
PROV7412;Ubombo;Ubombo;Ubombo;Ubombo;Ubombo;Ubombo;Ubombo;Убомбо;;;X;
PROV7413;Ingwavuma;Ingwavuma;Ingwavuma;Ingwavuma;Ingwavuma;Ingwavuma;Ingwavuma;Ингвавума;;;X;
PROV7414;Harding;Harding;Harding;Harding;Harding;Harding;Harding;Хардинг;;;X;
PROV7415;Gezubuso;Gezubuso;Gezubuso;Gezubuso;Gezubuso;Gezubuso;Gezubuso;Гезубусо;;;X;
PROV7416;Mapumulo;Mapumulo;Mapumulo;Mapumulo;Mapumulo;Mapumulo;Mapumulo;Мапумуло;;;X;
PROV7417;Socaire;Socaire;Socaire;Socaire;Socaire;Socaire;Socaire;Сокейре;;;X;
PROV7418;San Pablo de Lipez;San Pablo de Lipez;San Pablo de Lipez;San Pablo de Lipez;San Pablo de Lipez;San Pablo de Lipez;San Pablo de Lipez;Сан Пабло де Липез;;;X;
PROV7419;Camargo;Camargo;Camargo;Camargo;Camargo;Camargo;Camargo;Камарго;;;X;
PROV7420;Argelia;Argelia;Argelia;Argelia;Argelia;Argelia;Argelia;Аргелия;;;X;
PROV7421;Salvaciуn;Salvaciуn;Salvaciуn;Salvaciуn;Salvaciуn;Salvaciуn;Salvaciуn;Салвачин;;;X;
PROV7422;Mutum;Mutum;Mutum;Mutum;Mutum;Mutum;Mutum;Мутум;;;X;
PROV7423;Los Toldos;Los Toldos;Los Toldos;Los Toldos;Los Toldos;Los Toldos;Los Toldos;Лос Толдос;;;X;
PROV7424;Santa Maria de Cahuapanas;Santa Maria de Cahuapanas;Santa Maria de Cahuapanas;Santa Maria de Cahuapanas;Santa Maria de Cahuapanas;Santa Maria de Cahuapanas;Santa Maria de Cahuapanas;Манта Мария де Кахупанос;;;X;
PROV7425;Contamana;Contamana;Contamana;Contamana;Contamana;Contamana;Contamana;Контамана;;;X;
